WORD_KOR WORD_ENG WORD_ENG_DESC WORD_KOR_DESC
뉴스 NEWS news 
로그온 LOGON LOGON 
입력자명 IMN_NM input operator name 
입력자 IMN input operator (man) 
즉시 IMMD immediate 
 LONG LONG LONG 
 LOOKUP LOOKUP LOOKUP 
한글약어명 IKNM informal korean name 
상해 IJRY INJURY 
인터넷인터페이스 II INTERNET INTERFACE 
 LOSS LOSS LOSS 
손실액 LOSS_AMT loss amount 
약어명 IFNM informal name 
추첨 LOT LOT 
분양 LOTO lottingout 
분양가 LOTO_PR lottingout price 
이차B IDIF interest difference 
 IDENTIFY IDENTIFY IDENTIFY 
 LOW LOW LOW 
피보전 IDAJ independent adjust 
피계약자 ICON_MN independent contract man 
행내 IBNK inner bank 
 IBM IBM IBM 
 IBCA IBCA FITCH IBCA 
윤년 LPYR leap year 
입근주명 IAMT_NM in amount name 
입금주 IAMT_MSTR master 
입금액 IAMT in amount 
장기상품 LSGD LongSaving Goods 
하한가 LSLP the lowest limit price 
 LESS율 LSRT less rate 
최저가 LSTP lowest price 
최고가 HSTP highest price 
상한가 HSLP highest limit price 
필지 LTND a lot of land 
세대 HSHD a household 
가구 HSHD Household 
 HS HS harmonized system 
 LETTER LTTR LETTER 
강사 LTUR Lecturer 
 LU LU LU 
하역 LULD load and unload 
 VAN VAN Value-Added Network 
 VALID VALID VALID 
하역지 LUPL load and unload place 
이탈 LV leaving 
레벨 LVL LEVEL 
수준 LVL level 
 1레벨 LVL1 1 LEVEL 
 2레벨 LVL2 2 LEVEL 
 3레벨 LVL3 3 LEVEL 
 4레벨 LVL4 4 LEVEL 
가처분 PDSP provisional disposition 
기일전 PDDT Pre due date 
흐름 FLOW flow 
 FLOW FLOW FLOW 
포장 PCKN PACKING 
제세공과금 PBTX public tax of finance 
섭외 PBRL public relations 
공공차관 PBLN PUBLIC LOAN 
재정 PBLF public finance 
외화특정금전신탁 FMBT Foreign Currency Money Bond Trust 
항 FMLY family 
 PB PB Private Banking 
 PAYER PAYER PAYER 
총납입액 PAY_TAMT pay total amount 
금융채 FNBN Financial bond 
승진 PRMT Promotion 
지급자 PAY_MN pay man 
지급인 PAY_MN pay man 
촉진비 PRMT_CST promotion cost 
 PRNCIPAL PRNCIPAL PRINCIPAL 
납부 PAY payment 
부모 PRNT parents 
출력 PRNT print 
문제 PROB problem 
도착항 PARV port of arrival 
공정 PROC process 
절차 PROC process 
 PARTIAL PARTIAL PARTIAL 
 PART PART PART 
일부 PART part 
거실 PARL parlor 
 PARAGRAPH PARA PARAGRAPH 
 PAR PAR PAR 
 PAPER PAPER PAPER 
피아노 PANO piano 
성능 EFFC efficiency 
실효 EFFC efficiency. 
 EFFECT EFFECT EFFECT 
영문정식명 EFNM english formular name 
노력도 EFRT effort 
환가료율 EFRT exchange fee rate 
노력상 EFZE effort prize 
 EDI EI electronic data interchange 
단계 STAG stage 
유출 OUTF outflow 
 OUT OUT OUT 
외 OUT OUT 
 START START START 
정본 OTXT origin text 
원본 OTXT origin text 
원문 OTXT origin text 
지출관 OTMN OUTGOINGS MAN 
 STATE STATE STATE 
 STATUS STATUS STATUS 
 OTC OTC OVER THE COUNTER 
 OS OS OS 
주주 STCH stockholder 
주권 STCK stock 
주식 STCK stock 
좌수 STCK_CNT stock count 
주식수 STCK_CNT stock count 
 STD STD STANDARD 
 LIQ LIQ LIQUIDATION 
입출고 STDV store_delivery 
링크 LINK link 
회선 LINE LINE 
라인 LINE LINE 
 LIMIT LIMIT LIMIT 
 1단계 STG1 STAGE 1 
 2단계 STG2 STAGE 2 
 3단계 STG3 STAGE 3 
인지대 STGE stamp generation 
지분 POSS possession 
주가지수 STID stock price index 
 POS POS POSITION 
포지션 POS position 
직위 POS position 
결제후 STLM_AF settlement after 
 PORTFOL PORTFOL PORTFOLIO 
결제지 STLM_PLC settlement place 
 STLMT STLMT SETTLEMENT 
